idx,reservation_uc,actual_uc,refund_uc,input_tokens,output_tokens,latency_ms,margin_ratio
204,1128,379,749,14,73,2029,2.976253
205,1120,965,155,15,190,2444,1.160622
206,1135,210,925,15,39,1276,5.404762
207,1127,1017,110,17,200,2665,1.108161
208,1143,173,970,23,30,1660,6.606936
209,1127,401,726,16,77,1594,2.810474
210,1131,246,885,16,46,1142,4.597561
211,1144,868,276,18,170,3051,1.317972
212,1110,1010,100,10,200,2327,1.099010
213,1128,944,184,14,186,2746,1.194915
214,1123,608,515,13,119,2250,1.847039
215,1125,553,572,13,108,1957,2.034358
216,1140,294,846,14,56,1400,3.877551
217,1140,1017,123,17,200,3160,1.120944
218,1153,167,986,22,29,1397,6.904192
219,1126,376,750,16,72,2182,2.994681
220,1131,256,875,16,48,2334,4.417969
221,1142,1018,124,18,200,2529,1.121807
222,1118,1011,107,11,200,2357,1.105836
223,1131,1013,118,13,200,3187,1.116486
224,1129,518,611,13,101,1944,2.179537
225,1130,1016,114,16,200,2764,1.112205
226,1135,450,685,15,87,1548,2.522222
227,1148,1017,131,17,200,4023,1.128810
228,1154,778,376,23,151,2305,1.483290
229,1127,439,688,14,85,2574,2.567198
230,1131,551,580,16,107,1666,2.052632
231,1135,917,218,17,180,3241,1.237732
232,1111,1010,101,10,200,3340,1.100000
233,1130,1015,115,15,200,3061,1.113300
234,1128,294,834,14,56,2100,3.836735
235,1120,1015,105,15,200,2948,1.103448
236,1135,285,850,15,54,1719,3.982456
237,1127,1017,110,17,200,2793,1.108161
238,1143,173,970,23,30,3786,6.606936
239,1127,511,616,16,99,2032,2.205479
240,1131,476,655,16,92,1683,2.376050
241,1144,758,386,18,148,2316,1.509235
242,1110,1010,100,10,200,2963,1.099010
243,1128,769,359,14,151,2245,1.466840
244,1123,583,540,13,114,2312,1.926244
245,1125,608,517,13,119,2322,1.850329
246,1140,159,981,14,29,1633,7.169811
247,1140,1017,123,17,200,3008,1.120944
248,1153,167,986,22,29,1191,6.904192
249,1126,481,645,16,93,1982,2.340956
250,1131,526,605,16,102,1776,2.150190
251,1142,1018,124,18,200,2846,1.121807
252,1118,1011,107,11,200,2618,1.105836
253,1131,1013,118,13,200,3537,1.116486
254,1129,773,356,13,152,2714,1.460543
255,1130,1016,114,16,200,3090,1.112205
256,1135,470,665,15,91,1776,2.414894
257,1148,1017,131,17,200,2779,1.128810
258,1154,643,511,23,124,1994,1.794712
259,1127,489,638,14,95,2383,2.304703
260,1131,446,685,16,86,1963,2.535874
261,1135,962,173,17,189,2879,1.179834
262,1111,1010,101,10,200,2894,1.100000
263,1130,1015,115,15,200,2762,1.113300
264,1128,364,764,14,70,1477,3.098901
265,1120,1015,105,15,200,2985,1.103448
266,1135,220,915,15,41,1210,5.159091
267,1127,1017,110,17,200,2383,1.108161
268,1143,173,970,23,30,1098,6.606936
269,1127,501,626,16,97,1902,2.249501
270,1131,526,605,16,102,1648,2.150190
271,1144,673,471,18,131,2290,1.699851
272,1110,1010,100,10,200,2856,1.099010
273,1128,684,444,14,134,2253,1.649123
274,1123,558,565,13,109,4550,2.012545
275,1125,618,507,13,121,1797,1.820388
276,1140,309,831,14,59,1963,3.689320
277,1140,1017,123,17,200,2874,1.120944
278,1153,167,986,22,29,1085,6.904192
279,1126,356,770,16,68,1543,3.162921
280,1131,441,690,16,85,1532,2.564626
281,1142,1018,124,18,200,2626,1.121807
282,1118,1011,107,11,200,2418,1.105836
283,1131,1013,118,13,200,3116,1.116486
284,1129,633,496,13,124,2399,1.783570
285,1130,1016,114,16,200,3190,1.112205
286,1135,460,675,15,89,1911,2.467391
287,1148,1017,131,17,200,2989,1.128810
288,1154,778,376,23,151,2090,1.483290
289,1127,439,688,14,85,1759,2.567198
290,1131,491,640,16,95,1770,2.303462
291,1135,977,158,17,192,3021,1.161720
292,1111,1010,101,10,200,2865,1.100000
293,1130,1015,115,15,200,2387,1.113300
294,1128,269,859,14,51,1399,4.193309
295,1120,1015,105,15,200,3218,1.103448
296,1135,235,900,15,44,1209,4.829787
297,1127,1017,110,17,200,2573,1.108161
298,1143,173,970,23,30,972,6.606936
299,1127,481,646,16,93,1765,2.343035
300,1132,431,701,16,83,1394,2.626450
301,1144,993,151,18,195,2587,1.152064
302,1110,1010,100,10,200,2890,1.099010
303,1128,659,469,14,129,2149,1.711684
304,1123,608,515,13,119,1887,1.847039
