idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
226,1135000,390000,745000,15,75,1943,2.910256,false
227,1148000,1017000,131000,17,200,2666,1.128810,true
228,1154000,168000,986000,23,29,1430,6.869048,false
229,1127000,499000,628000,14,97,1937,2.258517,false
230,1131000,401000,730000,16,77,1544,2.820449,false
231,1135000,872000,263000,17,171,2869,1.301606,false
232,1111000,1010000,101000,10,200,2549,1.100000,true
233,1130000,1015000,115000,15,200,2810,1.113300,true
234,1128000,264000,864000,14,50,1807,4.272727,false
235,1120000,1015000,105000,15,200,2549,1.103448,true
236,1135000,235000,900000,15,44,1156,4.829787,false
237,1127000,1017000,110000,17,200,2575,1.108161,true
238,1143000,173000,970000,23,30,1086,6.606936,false
239,1127000,431000,696000,16,83,1842,2.614849,false
240,1131000,471000,660000,16,91,1843,2.401274,false
241,1144000,1018000,126000,18,200,2662,1.123772,true
242,1110000,1010000,100000,10,200,3073,1.099010,true
243,1128000,794000,334000,14,156,2661,1.420655,false
244,1123000,633000,490000,13,124,2011,1.774092,false
245,1125000,593000,532000,13,116,2086,1.897133,false
246,1140000,234000,906000,14,44,1639,4.871795,false
247,1140000,1017000,123000,17,200,3277,1.120944,true
248,1153000,167000,986000,22,29,1638,6.904192,false
249,1126000,491000,635000,16,95,3368,2.293279,false
250,1131000,491000,640000,16,95,1752,2.303462,false
251,1142000,1018000,124000,18,200,3177,1.121807,true
252,1118000,1011000,107000,11,200,2762,1.105836,true
253,1131000,968000,163000,13,191,3096,1.168388,false
254,1129000,653000,476000,13,128,2844,1.728943,false
255,1130000,1016000,114000,16,200,2820,1.112205,true
256,1135000,520000,615000,15,101,2300,2.182692,false
257,1148000,1017000,131000,17,200,2865,1.128810,true
258,1154000,593000,561000,23,114,1943,1.946037,false
259,1127000,474000,653000,14,92,2154,2.377637,false
260,1131000,551000,580000,16,107,1872,2.052632,false
261,1135000,1012000,123000,17,199,2839,1.121542,false
262,1111000,1010000,101000,10,200,2327,1.100000,true
263,1130000,1015000,115000,15,200,2793,1.113300,true
264,1128000,379000,749000,14,73,2049,2.976253,false
265,1120000,990000,130000,15,195,2866,1.131313,false
266,1135000,295000,840000,15,56,1845,3.847458,false
267,1127000,1017000,110000,17,200,3071,1.108161,true
268,1143000,458000,685000,23,87,1657,2.495633,false
269,1127000,491000,636000,16,95,1819,2.295316,false
270,1131000,506000,625000,16,98,1855,2.235178,false
271,1144000,1018000,126000,18,200,3167,1.123772,true
272,1110000,1010000,100000,10,200,3581,1.099010,true
273,1128000,614000,514000,14,120,2661,1.837134,false
274,1123000,608000,515000,13,119,2420,1.847039,false
275,1125000,653000,472000,13,128,2285,1.722818,false
276,1140000,364000,776000,14,70,1734,3.131868,false
277,1140000,1017000,123000,17,200,2636,1.120944,true
278,1153000,167000,986000,22,29,1761,6.904192,false
279,1126000,371000,755000,16,71,2253,3.035040,false
280,1131000,381000,750000,16,73,1660,2.968504,false
281,1142000,1018000,124000,18,200,2712,1.121807,true
282,1118000,1011000,107000,11,200,2633,1.105836,true
283,1131000,1013000,118000,13,200,6092,1.116486,true
